Ocupação	Tempo	E[N]	E[W]	Erro de Little
200	0,939222	16,087619	3,226754	1,3145E-13
300	0,938496	13,759789	2,718812	1,19016E-13
400	0,922164	11,910771	2,383121	8,95284E-13
500	0,910314	11,068114	2,265928	9,52127E-13
600	0,925252	13,571383	2,75869	1,76925E-12
700	0,912011	12,161491	2,495462	4,05187E-12
800	0,917439	11,979756	2,434019	5,87796E-12
900	0,910649	11,134595	2,255875	8,00426E-12
1000	0,912972	10,838665	2,187694	4,24549E-13
1100	0,92009	11,572242	2,323139	3,62199E-12
1200	0,91817	11,168805	2,247598	3,30935E-12
1300	0,918548	11,165489	2,238561	3,77831E-12
1400	0,919818	10,904527	2,175115	5,44098E-12
1500	0,914241	10,488047	2,096465	4,07496E-12
1600	0,912428	10,1673	2,028113	7,94209E-12
1700	0,912099	9,846133	1,959254	1,14841E-11
1800	0,912562	9,820891	1,955398	1,53069E-11
1900	0,904197	9,447371	1,892534	2,09859E-11
2000	0,903454	9,277606	1,860352	2,42952E-11
2100	0,906278	9,634232	1,93047	2,89315E-11
2200	0,907927	9,700867	1,93964	2,28972E-11
2300	0,907396	9,587203	1,916435	2,20854E-11
2400	0,911152	9,877616	1,970872	1,0477E-11
2500	0,912389	9,910493	1,976043	5,7625E-12
2600	0,9156	10,071215	2,003975	1,11129E-11
2700	0,916695	10,343206	2,05837	3,16991E-11
2800	0,916191	10,357675	2,063578	1,95381E-11
2900	0,915185	10,214898	2,036627	2,04459E-11
3000	0,914813	10,077008	2,011504	3,75628E-11
3100	0,911842	9,879304	1,972058	1,67102E-11
3200	0,910739	9,874123	1,970916	5,59019E-12
3300	0,909915	9,835681	1,965828	4,61853E-14
3400	0,909878	9,698604	1,941053	1,71134E-11
3500	0,909693	9,590307	1,920244	2,49578E-11
3600	0,908002	9,413044	1,887317	1,68399E-11
3700	0,906771	9,336697	1,870676	2,06946E-12
3800	0,908973	9,679647	1,937625	2,75726E-11
3900	0,907198	9,58269	1,920011	3,06191E-11
4000	0,907592	9,54678	1,912148	6,76224E-11
4100	0,907358	9,514689	1,90405	2,29541E-11
4200	0,907107	9,462082	1,894453	4,73932E-11
4300	0,909245	9,811869	1,960165	7,18927E-11
4400	0,909195	9,851144	1,968161	5,91012E-11
4500	0,908731	9,774352	1,954505	9,06244E-11
4600	0,906839	9,647832	1,930982	5,32037E-11
4700	0,90635	9,601056	1,923381	4,64357E-11
4800	0,905278	9,532709	1,909323	6,52296E-11
4900	0,905987	9,589859	1,923212	6,72848E-11
5000	0,905636	9,596801	1,922618	7,13847E-11
5100	0,906308	9,506949	1,902799	7,97957E-11
5200	0,905813	9,438976	1,890022	1,16094E-10
5300	0,906316	9,388936	1,879185	1,05903E-10
5400	0,904921	9,290515	1,859174	8,59242E-11
5500	0,904494	9,247021	1,849055	4,28901E-11
5600	0,905	9,209617	1,839517	5,7975E-11
5700	0,904664	9,133113	1,82419	8,2597E-11
5800	0,905458	9,136015	1,823092	9,6426E-11
5900	0,905131	9,048024	1,805785	1,11353E-10
6000	0,904465	9,009235	1,798401	9,30438E-11
6100	0,904863	9,067405	1,810482	1,03928E-10
